LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
"d $350,000-1 million","KILLISNOO HARBOR, LLC",PO Box 101,ANGOON,AK,99820,114111,Limited  Liability Company(LLC),White,Unanswered,Unanswered,,45,4/29/20,Three Rivers Bank of Montana,AK - 00
"d $350,000-1 million","KINNEY ENGINEERING, LLC",3909 Arctic Boulevard Suite 400,ANCHORAGE,AK,99503,541330,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,4/27/20,Northrim Bank,AK - 00
"d $350,000-1 million","KLONDIKE CONCRETE CO., INC",17625 Old Glenn Hwy,CHUGIAK,AK,99567,327310,Corporation,Unanswered,Unanswered,Unanswered,,22,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",KODIAK ISLAND HEALTH CARE FOUNDATION,119 E REZANOF DR,KODIAK,AK,99615,621498,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,45,4/8/20,Denali State Bank,AK - 00
"d $350,000-1 million","KOMAN CONSTRUCTION, LLC","2700 Gambell St, Suite 401",ANCHORAGE,AK,99503,238910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,4/13/20,KeyBank National Association,AK - 00
"d $350,000-1 million","KOMAN GOVERNMENT SOLUTIONS, LLC","2700 Gambell St, Suite 401",ANCHORAGE,AK,99503,562910,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,56,4/13/20,KeyBank National Association,AK - 00
"d $350,000-1 million","KONIAG, INC.",3800 Centerpoint Drive,ANCHORAGE,AK,99503,551112,Corporation,American Indian or Alaska Native,Male Owned,Non-Veteran,,29,4/12/20,KeyBank National Association,AK - 00
"d $350,000-1 million","KWIKPAK FISHERIES, LLC",2909 Arctic Blvd,ANCHORAGE,AK,99503,114111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/30/20,Banner Bank,AK - 00
"d $350,000-1 million","L&M EQUIPMENT, INC.",PO BOX 241,NAKNEK,AK,99633,532412,Corporation,White,Male Owned,Non-Veteran,,22,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",LAND'S END ACQUISITION CORPORATION,4786 Homer Spit Road,HOMER,AK,99603,721110,Corporation,Unanswered,Male Owned,Non-Veteran,,37,4/6/20,Northrim Bank,AK - 00
"d $350,000-1 million",LATOUCHE PEDIATRICS LLC,3340 PROVIDENCE DR SUITE 452,ANCHORAGE,AK,99508,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,54,4/14/20,Alaska USA FCU,AK - 00
"d $350,000-1 million",LEE ENTERPRISES INC,1930 AIRPORT WAY,FAIRBANKS,AK,99701,722513,Subchapter S Corporation,Black or African American,Male Owned,Unanswered,,225,4/6/20,Northrim Bank,AK - 00
"d $350,000-1 million","LEGACY FUNERAL HOMES, INC",1707 S BRAGAW ST,ANCHORAGE,AK,99508,812210,Corporation,White,Male Owned,Non-Veteran,,39,4/29/20,Matanuska Valley FCU,AK - 00
"d $350,000-1 million","LET IT SNOW, LLC",340 G STREET SUITE 200,ANCHORAGE,AK,99501,722511,Corporation,Asian,Female Owned,Non-Veteran,,30,4/10/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",LNW TRANSPORT INC,PO BOX 110455,ANCHORAGE,AK,99511,484121,Corporation,Unanswered,Unanswered,Unanswered,,23,4/16/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","LOUNSBURY & ASSOCIATES, INC.",5300 A Street,ANCHORAGE,AK,99518,541330,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","M & S ASSOCIATES, INC.",2285 Trout Street,JUNEAU,AK,99803,722513,Corporation,Unanswered,Male Owned,Unanswered,,104,4/14/20,First Bank,AK - 00
"d $350,000-1 million",MAC PIZZA COMPANY LLC,601 W 36th Avenue Suite #5,ANCHORAGE,AK,99503,722513,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,216,4/12/20,"BankUnited, National Association",AK - 00
"d $350,000-1 million",MAKAR EYECARE LLC,341 W TUDOR STE 101,ANCHORAGE,AK,99503,621320,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,4/15/20,Stearns Bank National Association,AK - 00
"d $350,000-1 million",MANLEY & BRAUTIGAM PC,1127 W 7th Avenue 1127 W 7th Avenue,ANCHORAGE,AK,99501,541110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,17,4/28/20,Northrim Bank,AK - 00
"d $350,000-1 million","MARKET BASKET, INC.",246 ILLINOIS ST STE B,FAIRBANKS,AK,99701,445110,Corporation,Unanswered,Unanswered,Unanswered,,57,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million","MCKINLEY CAPITAL MANAGEMENT, LLC",3800 Centerpoint Drive Suite 1100,ANCHORAGE,AK,99503,523920,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,41,4/28/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","MCKINLEY FENCE COMPANY OF ALASKA, INC.",5901 LAKE OTIS PARKWAY,ANCHORAGE,AK,99507,238190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,9,4/16/20,Northrim Bank,AK - 00
"d $350,000-1 million","MCKINLEY SERVICES OF ALASKA, LLC",4010 Mountain View Drive,ANCHORAGE,AK,99508,621610,Limited  Liability Company(LLC),Hispanic,Female Owned,Non-Veteran,,105,4/27/20,True North FCU,AK - 00
"d $350,000-1 million","MCN CONSTRUCTION, INC.",1107 E 71ST AVE,ANCHORAGE,AK,99518,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,50,4/9/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","MECHANICAL SPECIALIST, INC.",1960 E FOUNDRY WAY,WASILLA,AK,99654,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,33,4/13/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",MEDICAL GROUP OF ALASKA,3190 E Meridian Park Loop Ste 207,WASILLA,AK,99654,621111,Partnership,Unanswered,Unanswered,Unanswered,,65,4/7/20,Northrim Bank,AK - 00
"d $350,000-1 million","MEGAWATT ELECTRIC, LLC",510 W FIREWEED LANE,ANCHORAGE,AK,99503,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,39,4/13/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",MICHAEL G MACNAMARA MD LLC,4015 Lake Otis Pkwy,ANCHORAGE,AK,99508,621493,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,4/8/20,Alaska USA FCU,AK - 00
"d $350,000-1 million","MIDNIGHT SUN GLOBAL SERVICES, LLC","1225 E Intl Airport Rd, Ste 110",ANCHORAGE,AK,99518,561499,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,46,4/13/20,KeyBank National Association,AK - 00
"d $350,000-1 million","MIDNIGHT SUN SUBWAY, L.L.C.",1800 AIRPORT WAY,FAIRBANKS,AK,99701,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,115,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million",MINT DENTAL LLC,"2665 East Tudor Road, Suite 300",ANCHORAGE,AK,99507,423450,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,45,4/7/20,Northrim Bank,AK - 00
"d $350,000-1 million","MIRANDA ELECTRIC, INC",980 DEERE ST,FAIRBANKS,AK,99709,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,4/8/20,Mt. McKinley Bank,AK - 00
"d $350,000-1 million","MONICA JOHNSON INSURANCE AGENCY, INC.",1830 E Parks Hwy Ste,WASILLA,AK,99654,524210,Corporation,Unanswered,Unanswered,Unanswered,,7,4/12/20,KeyBank National Association,AK - 00
"d $350,000-1 million","MOORE HEATING, AIR CONDITIONING & REFRIGERATION INC",1801 E DOWLING RD,ANCHORAGE,AK,99507,238220,Corporation,Unanswered,Unanswered,Unanswered,,30,4/9/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",MRT INC.,2945 MOUNTAIN VIEW,ANCHORAGE,AK,99501,238990,Corporation,Unanswered,Unanswered,Unanswered,,29,4/10/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",MTNT LTD,1500 W 33rd Ave. Suite 100,ANCHORAGE,AK,99503,561110,Corporation,Unanswered,Unanswered,Unanswered,,46,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",NAKNEK ELECTRIC ASSOCIATION,P.O Box 118,NAKNEK,AK,99633,221112,Cooperative,Unanswered,Unanswered,Unanswered,,17,5/12/20,"Native American Bank, National Association",AK - 00
"d $350,000-1 million",NANIQ GLOBAL LOGISTICS LLC,"6375 KULIS DRIVE, BLDG 23",ANCHORAGE,AK,99502,488510,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,54,5/3/20,"Bank of America, National Association",AK - 00
"d $350,000-1 million",NEUROVERSION INC,2925 Debarr Rd Building D Suite 240,ANCHORAGE,AK,99508,621111,Corporation,Unanswered,Unanswered,Unanswered,,36,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",NINE STAR ENTERPRISES,730 I Street,ANCHORAGE,AK,99501,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,66,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",NORTECH INC,2400 College Road,FAIRBANKS,AK,99709,541330,Corporation,Unanswered,Unanswered,Unanswered,,22,4/4/20,Mt. McKinley Bank,AK - 00
"d $350,000-1 million","NORTH PORT RENTALS, INC. AND ALEUTIAN FREIGHT SERVICES, INC.",429 Airport Cargo Bldg,DUTCH HARBOR,AK,99692,488510,Corporation,White,Male Owned,Non-Veteran,,8,4/14/20,KeyBank National Association,AK - 00
"d $350,000-1 million","NORTH SLOPE TELECOM, INC.",2020 E Dowling Road Ste 3,ANCHORAGE,AK,99507,517311,Subchapter S Corporation,White,Male Owned,Non-Veteran,,48,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",NORTH STAR TERMINAL & STEVEDORE COMPANY LLC,790 OCEAN DOCK RD,ANCHORAGE,AK,99501,488390,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,58,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","NORTHERN ADJUSTERS, INC.",1401 Rudakof Circle,ANCHORAGE,AK,99508,524291,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,27,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million",NORTHERN ALASKA CONTRACTORS LLC,3610 MERE CIRCLE,ANCHORAGE,AK,99502,237110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million",NORTHERN ALASKA TOUR COMPANY,3820 University Ave S,FAIRBANKS,AK,99709,485510,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,35,4/13/20,KeyBank National Association,AK - 00
"d $350,000-1 million",NORTHERN INDUSTRIAL TRAINING LLC,1740 N. Terrilou Court,PALMER,AK,99645,611519,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,4/12/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","NORTHERN SOUTHEAST REGIONAL AQUACULTURE ASSOC., INC.",1308 Sawmill Creek Road,SITKA,AK,99835,112519,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,48,4/15/20,First Bank,AK - 00
"d $350,000-1 million","NORTHLAND WOOD PRODUCTS, INC.",4000 South Cushman St.,FAIRBANKS,AK,99701,444190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,41,4/5/20,Mt. McKinley Bank,AK - 00
"d $350,000-1 million","NORTHSTAR AUTO, INC.",8725 MALLARD ST,JUNEAU,AK,99801,441110,Corporation,Unanswered,Male Owned,Unanswered,,59,4/9/20,First Bank,AK - 00
"d $350,000-1 million",NUSHAGAK COOPERATIVE INCORPORATED,557 KENNY WREN ROAD,DILLINGHAM,AK,99576,517110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million","NYAC MINING COMPANY, LLC",1634 W 13th Avenue,ANCHORAGE,AK,99501,212221,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,5/3/20,KeyBank National Association,AK - 00
"d $350,000-1 million","OFC, INC.",131 S Bragaw Street,ANCHORAGE,AK,99508,445110,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,56,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",OLD HARBOR NATIVE CORPORATION,2702 Denali Street,ANCHORAGE,AK,99503,541618,Corporation,Unanswered,Unanswered,Unanswered,,16,4/15/20,KeyBank National Association,AK - 00
"d $350,000-1 million",OLGOONIK CONSTRUCTION SERVICES LLC,3201 C STREET SUITE &amp;00,ANCHORAGE,AK,99503,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million",OLGOONIK HOLDINGS,3201 C STREET SUUITE 700,ANCHORAGE,AK,99503,551111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million","OPHTHALMIC ASSOCIATES, A PROFESSIONAL CORPORATION",542 West 2nd Avenue,ANCHORAGE,AK,99501,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,34,4/11/20,KeyBank National Association,AK - 00
"d $350,000-1 million",ORION CONSTRUCTION INC,3038 N CARIBOU ST,WASILLA,AK,99654,236220,Corporation,Unanswered,Unanswered,Unanswered,,26,5/5/20,Northrim Bank,AK - 00
"d $350,000-1 million",OUZINKIE NATIVE CORPORATION,11001 OMALLEY CENTRE DR STE 105,ANCHORAGE,AK,99515,541611,Corporation,Unanswered,Unanswered,Unanswered,,26,4/11/20,Truist Bank d/b/a Branch Banking & Trust Co,AK - 00
"d $350,000-1 million","P, INC.",4492 E FAIRVIEW LOOP,WASILLA,AK,99654,212321,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,24,4/7/20,Northrim Bank,AK - 00
"d $350,000-1 million","PACIFIC NORTHERN ACADEMY, INC",2511 Sentry Drive Suite 100 2511 Sentry Drive Suite 100,ANCHORAGE,AK,99507,611110,Professional Association,Unanswered,Unanswered,Unanswered,,37,4/16/20,Northrim Bank,AK - 00
"d $350,000-1 million",PACRIM PROPERTIES LLC,405 W 27TH AVE,ANCHORAGE,AK,99503,531210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,43,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million","PAKLOOK AIR, INC.",3551 Chief Eddie Hoffman Hwy,BETHEL,AK,99559,481111,Corporation,Unanswered,Unanswered,Unanswered,,32,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","PANGO TECHNOLOGY, INC",502 E Fireweed Lane,ANCHORAGE,AK,99503,541511,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,20,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",PAPAC ALASKA LOGGING INC,Mile 11.5 Klawock-Hollis Hwy,KLAWOCK,AK,99925,113310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,25,4/29/20,Bank of the Pacific,AK - 00
"d $350,000-1 million","PARAGON DISTRIBUTING, LLC",PO  BOX 113005,ANCHORAGE,AK,99511,424410,Corporation,Unanswered,Unanswered,Unanswered,,40,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","PEAK NEUROLOGY AND SLEEP MEDICINE, LLC","2741 Debarr Road, Suite 308",ANCHORAGE,AK,99508,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,4/7/20,Alaska USA FCU,AK - 00
"d $350,000-1 million",PETROLEUM EQUIPMENT & SERVICES INC.,5631 Silverado Way Unit G,ANCHORAGE,AK,99518,213112,Corporation,White,Male Owned,Non-Veteran,,19,4/27/20,Greater Nevada CU,AK - 00
"d $350,000-1 million","PIKE'S ON THE RIVER, INC.",1850 HOSELTON RD.,FAIRBANKS,AK,99701,721110,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,71,4/3/20,Mt. McKinley Bank,AK - 00
"d $350,000-1 million","PIONEER DOOR, INC.",6514 Greenwood Street,ANCHORAGE,AK,99518,238350,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,36,4/9/20,Northrim Bank,AK - 00
"d $350,000-1 million","PLAYFUL LEARNING PEDIATRIC THERAPY, LLC","12110 Business Blvd, Sgte.6 PMB 413",EAGLE RIVER,AK,99577,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","POLLARD WIRELINE, INC.",42320 Kenai Spur Hwy.,KENAI,AK,99611,213112,Subchapter S Corporation,White,Male Owned,Non-Veteran,,39,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","POSTAL INSTANT PRESS OF AK,INC",833 E 4th Ave,ANCHORAGE,AK,99501,323120,Corporation,Unanswered,Male Owned,Veteran,,41,4/7/20,Alaska USA FCU,AK - 00
"d $350,000-1 million","POWERS BROTHERS, INC.",1436 E TUDOR ROAD,ANCHORAGE,AK,99507,713290,Corporation,Unanswered,Unanswered,Unanswered,,47,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",PREMIER ELECTRIC LLC,2485 EAST ZAK CIRCLE SUITE D,WASILLA,AK,99654,238210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,29,4/13/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",PRINCE WILLIAM SOUND AQUACULTURE CORPORATION,500 1st St,CORDOVA,AK,99574,112511,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,92,4/30/20,"Bank of America, National Association",AK - 00
"d $350,000-1 million","PRISM DESIGN & CONSTRUCTION, LLC",PO BOX 870162,WASILLA,AK,99687,236220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,41,4/10/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","PRL LOGISTICS, INC.",6375 Kulis Dr,ANCHORAGE,AK,99502,541614,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,30,5/6/20,Northrim Bank,AK - 00
"d $350,000-1 million",PROCARE HOME MEDICAL INC.,4215 Credit Union Dr.,ANCHORAGE,AK,99503,446199,Corporation,Unanswered,Unanswered,Unanswered,,80,4/5/20,Northrim Bank,AK - 00
"d $350,000-1 million",PRODUCTION TESTING SERVICES INC,440 E 100TH AVE,ANCHORAGE,AK,99515,213112,Corporation,Unanswered,Unanswered,Unanswered,,24,5/3/20,"Bank of America, National Association",AK - 00
"d $350,000-1 million",PROGRAM FOR INFANTS AND CHILDREN,161 KLEVIN ST STE 103,ANCHORAGE,AK,99508,624120,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,32,4/15/20,NuVision FCU,AK - 00
"d $350,000-1 million","PROVIDENCE SURGERY CENTERS, LLC",3831 Piper Street,ANCHORAGE,AK,99508,621493,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,4/13/20,KeyBank National Association,AK - 00
"d $350,000-1 million",PTARMIGAN PEDIATRICS LLC,3543 E MERIDIAN PARK LOOP STE A,WASILLA,AK,99654,621111,Limited  Liability Company(LLC),White,Male Owned,Veteran,,51,4/12/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",PUMP HOUSE LLC,PO Box 80545,FAIRBANKS,AK,99708,722511,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,37,4/28/20,Mt. McKinley Bank,AK - 00
"d $350,000-1 million",Q-1 CORPORATION,1230 W International Airport Rd,ANCHORAGE,AK,99518,561720,Subchapter S Corporation,Asian,Male Owned,Non-Veteran,,100,4/16/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","R.J.H., INCORPORATED",2132 RAILROAD AVE,ANCHORAGE,AK,99501,213112,Corporation,Unanswered,Unanswered,Unanswered,,48,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million",RASMUSON FOUNDATION,301 W. NORTHERN LIGHTS SUITE 601,ANCHORAGE,AK,99503,561990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million",RAVEN ELECTRIC INC,8015 School Street,ANCHORAGE,AK,99518,238210,Corporation,Unanswered,Unanswered,Unanswered,,20,4/13/20,Alaska USA FCU,AK - 00
"d $350,000-1 million","READING WRITE ALASKA, INC.",12580 OLD SEWARD HWY,ANCHORAGE,AK,99515,624310,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,4/11/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",REBOUND SPORTS AND ORTHOPEDIC PHYSICAL THERAPY LLC,1980 W BENSON BLVD,ANCHORAGE,AK,99517,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million","REDEMPTION, INC.",1420 Airport Way,KODIAK,AK,99615,481112,Corporation,Unanswered,Unanswered,Unanswered,,37,4/6/20,Northrim Bank,AK - 00
"d $350,000-1 million",RELIABLE APPLIANCES LLC,1200 East 76th Unit 1204,ANCHORAGE,AK,99518,811412,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,43,4/5/20,Northrim Bank,AK - 00
"d $350,000-1 million",RENT A CAN TOILET CO INC,11119 MAUSEL ST,EAGLE RIVER,AK,99577,562998,Corporation,Unanswered,Unanswered,Unanswered,,26,4/15/20,Northrim Bank,AK - 00
"d $350,000-1 million","RESIDENITAL YOUTH CARE, INC.",2514 1st Avenue,KETCHIKAN,AK,99901,624110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,57,4/7/20,First Bank,AK - 00
"d $350,000-1 million",RESTAURANT CONCEPTS LLC,3578 airport way,FAIRBANKS,AK,99709,722511,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,53,4/4/20,Denali State Bank,AK - 00
"d $350,000-1 million",RICHARDS DISTRIBUTING,1698 Airport Way STE 1,FAIRBANKS,AK,99701,444190,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,43,4/3/20,Mt. McKinley Bank,AK - 00
"d $350,000-1 million",RIDGE CONTRACTING INC.,9600 Vanguard Drive,ANCHORAGE,AK,99507,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,21,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","RJG, A PROFESSIONAL CORPORATION",1100 W Barnette St,FAIRBANKS,AK,99701,541211,Corporation,Unanswered,Female Owned,Unanswered,,25,4/4/20,Northrim Bank,AK - 00
"d $350,000-1 million","ROCK-N-ROAD CONSTRUCTION, INC.",PO BOX 1188,PETERSBURG,AK,99833,237990,Corporation,Unanswered,Unanswered,Unanswered,,28,4/4/20,First Bank,AK - 00
"d $350,000-1 million","ROGER HICKEL CONTRACTING, INC.",11001 Calaska Circle,ANCHORAGE,AK,99515,236220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,82,4/15/20,KeyBank National Association,AK - 00
"d $350,000-1 million","ROTAK, LLC",5014 CAPTAIN HILL CT,ANCHORAGE,AK,99502,488190,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,24,4/9/20,Northrim Bank,AK - 00
"d $350,000-1 million",ROY BRILEY INC,1577 C ST. STE 101,ANCHORAGE,AK,99501,524210,Corporation,Unanswered,Male Owned,Non-Veteran,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million","RPR, INC.",2201 E 84th Court,ANCHORAGE,AK,99507,238160,Corporation,White,Male Owned,Non-Veteran,,65,4/7/20,Northrim Bank,AK - 00
"d $350,000-1 million","RSA ENGINEERING, INC.",670 W FIREWEED LANE SUITE 200,ANCHORAGE,AK,99503,541330,Corporation,Unanswered,Unanswered,Unanswered,,33,4/16/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","RUST'S FLYING SERVICE, INC.",PO BOX 190867,ANCHORAGE,AK,99519,481211,Corporation,Unanswered,Unanswered,Unanswered,,14,4/9/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",SALTWATER INC,733 N Street,ANCHORAGE,AK,99510,541990,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,85,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",SCHMOLCK MECHANICAL CONTRACTORS INC.,949 Stedman St,KETCHIKAN,AK,99901,238220,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,39,4/15/20,First Bank,AK - 00
"d $350,000-1 million",SEALASKA HERITAGE INSTITUTE INC,105 S SEWARD ST SUITE 201,JUNEAU,AK,99801,611310,Corporation,Unanswered,Unanswered,Unanswered,,51,4/27/20,Northrim Bank,AK - 00
"d $350,000-1 million",SEAVIEW COMMUNITY SERVICES,302 RAILWAY AVENUE,SEWARD,AK,99664,624190,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,45,4/9/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","SECURETRANS, INC",2420 CINNABAR LOOP,ANCHORAGE,AK,99507,561613,Corporation,Unanswered,Unanswered,Unanswered,,88,4/16/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",SENIOR CARE SPECIALISTS LLC,1801 E. DOWLING RD. STE 300,ANCHORAGE,AK,99507,624120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/20,"Wells Fargo Bank, National Association",AK - 00
"d $350,000-1 million",SET FREE ALASKA INC,7010 E BOGARD ROAD,WASILLA,AK,99654,623990,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,51,4/16/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",SEWARD WILDLIFE CRUISES LLC,600 Port Avenue,SEWARD,AK,99664,561520,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,4/6/20,First Sound Bank,AK - 00
"d $350,000-1 million",SHEET METAL INC.,6517 Arctic Spur Rd.,ANCHORAGE,AK,99518,238220,Corporation,Unanswered,Unanswered,Unanswered,,23,4/11/20,KeyBank National Association,AK - 00
"d $350,000-1 million",SHERMAN TECHNOLOGIES LLC,PO BOX 876476,WASILLA,AK,99687,517919,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,26,4/15/20,First National Bank Alaska,AK - 00
"d $350,000-1 million",SILVER GULCH BREWING & BOTTLING INC,2195 OLD STEESE HWY,FAIRBANKS,AK,99712,312111,Corporation,Unanswered,Unanswered,Unanswered,,50,4/7/20,Denali State Bank,AK - 00
"d $350,000-1 million","SITKA COUNSELING & PREVENTION SERVICES, INC.",113 METLAKATLA ST,SITKA,AK,99835,624190,Non-Profit Organization,Unanswered,Male Owned,Unanswered,Y,48,4/8/20,First Bank,AK - 00
"d $350,000-1 million","SKAGWAY BREWING COMPANY, INC",204 4TH AVENUE STE 946,SKAGWAY,AK,99840,722511,Corporation,White,Male Owned,Unanswered,,18,4/14/20,First National Bank Alaska,AK - 00
"d $350,000-1 million","SMITH CABLE SYSTEMS, INC.",2220 CINNABAR LOOP,ANCHORAGE,AK,99507,238210,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,23,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million","SNOW WHITE, INC.",700 I ST,ANCHORAGE,AK,99501,812331,Corporation,White,Male Owned,Non-Veteran,,48,4/8/20,Northrim Bank,AK - 00
"d $350,000-1 million","SOCKEYE BUSINESS SOLUTIONS, INC.","808 E Street, Suite 100",ANCHORAGE,AK,99501,541690,Subchapter S Corporation,Unanswered,Male Owned,Veteran,,15,4/27/20,Northrim Bank,AK - 00
